Date,Applications (Total)
17/04/2016,0
18/04/2016,0
19/04/2016,0
20/04/2016,3
21/04/2016,4
22/04/2016,4
23/04/2016,4
24/04/2016,4
25/04/2016,4
26/04/2016,4
27/04/2016,4
28/04/2016,4
29/04/2016,4
30/04/2016,4
01/05/2016,4
02/05/2016,4
03/05/2016,4
04/05/2016,4
05/05/2016,4
06/05/2016,4
07/05/2016,4
08/05/2016,4
09/05/2016,4
10/05/2016,4
11/05/2016,4
12/05/2016,4
13/05/2016,4
14/05/2016,4
15/05/2016,4
16/05/2016,4
17/05/2016,4
18/05/2016,4
19/05/2016,4
20/05/2016,4
21/05/2016,4
22/05/2016,4
23/05/2016,4
24/05/2016,4
25/05/2016,4
26/05/2016,5
27/05/2016,5
28/05/2016,5
29/05/2016,5
30/05/2016,7
31/05/2016,7
01/06/2016,7
02/06/2016,7
03/06/2016,7
04/06/2016,7
05/06/2016,7
06/06/2016,7
07/06/2016,8
08/06/2016,8
09/06/2016,8
10/06/2016,8
11/06/2016,8
12/06/2016,8
13/06/2016,8
14/06/2016,8
15/06/2016,8
16/06/2016,8
17/06/2016,8
18/06/2016,8
19/06/2016,9
20/06/2016,9
21/06/2016,9
22/06/2016,9
23/06/2016,9
24/06/2016,9
25/06/2016,9
26/06/2016,9
27/06/2016,9
28/06/2016,9
29/06/2016,9
30/06/2016,9
01/07/2016,9
02/07/2016,9
03/07/2016,9
04/07/2016,9
05/07/2016,9
06/07/2016,9
07/07/2016,9
08/07/2016,9
09/07/2016,9
10/07/2016,9
11/07/2016,10
12/07/2016,10
13/07/2016,10
14/07/2016,10
15/07/2016,10
16/07/2016,10
17/07/2016,10
18/07/2016,10
19/07/2016,10
20/07/2016,10
21/07/2016,10
22/07/2016,10
23/07/2016,10
24/07/2016,10
25/07/2016,10
26/07/2016,10
27/07/2016,10
28/07/2016,10
29/07/2016,10
30/07/2016,10
31/07/2016,10
01/08/2016,10
02/08/2016,10
03/08/2016,11
04/08/2016,11
05/08/2016,11
06/08/2016,11
07/08/2016,11
08/08/2016,11
09/08/2016,11
10/08/2016,11
11/08/2016,11
12/08/2016,11
13/08/2016,11
14/08/2016,11
15/08/2016,11
16/08/2016,11
17/08/2016,11
18/08/2016,11
19/08/2016,11
20/08/2016,11
21/08/2016,11
22/08/2016,12
23/08/2016,12
24/08/2016,12
25/08/2016,12
26/08/2016,12
27/08/2016,12
28/08/2016,12
29/08/2016,12
30/08/2016,12
31/08/2016,12
01/09/2016,12
02/09/2016,12
03/09/2016,12
04/09/2016,12
05/09/2016,13
06/09/2016,13
07/09/2016,14
08/09/2016,14
09/09/2016,16
10/09/2016,16
11/09/2016,16
12/09/2016,16
13/09/2016,16
14/09/2016,18
15/09/2016,18
16/09/2016,19
17/09/2016,19
18/09/2016,19
19/09/2016,19
20/09/2016,20
21/09/2016,20
22/09/2016,20
23/09/2016,20
24/09/2016,20
25/09/2016,21
26/09/2016,21
27/09/2016,21
28/09/2016,21
29/09/2016,21
30/09/2016,21
01/10/2016,21
02/10/2016,22
03/10/2016,22
04/10/2016,22
05/10/2016,23
06/10/2016,24
07/10/2016,25
08/10/2016,25
09/10/2016,25
10/10/2016,25
11/10/2016,25
12/10/2016,25
13/10/2016,26
14/10/2016,26
15/10/2016,26
16/10/2016,26
17/10/2016,26
18/10/2016,26
19/10/2016,27
20/10/2016,27
21/10/2016,27
22/10/2016,27
23/10/2016,27
24/10/2016,27
25/10/2016,27
26/10/2016,27
27/10/2016,27
28/10/2016,27
29/10/2016,27
30/10/2016,27
31/10/2016,28
01/11/2016,28
02/11/2016,29
03/11/2016,30
04/11/2016,30
05/11/2016,30
06/11/2016,30
07/11/2016,31
08/11/2016,31
09/11/2016,41
10/11/2016,42
11/11/2016,42
12/11/2016,42
13/11/2016,42
14/11/2016,42
15/11/2016,43
16/11/2016,44
17/11/2016,45
18/11/2016,46
19/11/2016,46
20/11/2016,46
21/11/2016,46
22/11/2016,46
23/11/2016,47
24/11/2016,49
25/11/2016,49
26/11/2016,49
27/11/2016,49
28/11/2016,50
29/11/2016,50
30/11/2016,50
01/12/2016,50
02/12/2016,50
03/12/2016,50
04/12/2016,50
05/12/2016,51
06/12/2016,51
07/12/2016,51
08/12/2016,52
09/12/2016,52
10/12/2016,52
11/12/2016,52
