Date,Daily
01/10/2015,0
02/10/2015,0
03/10/2015,0
04/10/2015,0
05/10/2015,2
06/10/2015,8
07/10/2015,8
08/10/2015,5
09/10/2015,3
10/10/2015,0
11/10/2015,0
12/10/2015,19
13/10/2015,0
14/10/2015,9
15/10/2015,2
16/10/2015,14
17/10/2015,0
18/10/2015,12
19/10/2015,4
20/10/2015,5
21/10/2015,3
22/10/2015,5
23/10/2015,0
24/10/2015,0
25/10/2015,0
26/10/2015,1
27/10/2015,0
28/10/2015,0
29/10/2015,4
30/10/2015,12
31/10/2015,0
01/11/2015,0
02/11/2015,7
03/11/2015,67
04/11/2015,60
05/11/2015,92
06/11/2015,118
07/11/2015,0
08/11/2015,11
09/11/2015,3
10/11/2015,1
11/11/2015,4
12/11/2015,2
13/11/2015,0
14/11/2015,0
15/11/2015,1
16/11/2015,12
17/11/2015,3
18/11/2015,13
19/11/2015,2
20/11/2015,1
21/11/2015,0
22/11/2015,3
23/11/2015,7
24/11/2015,16
25/11/2015,4
26/11/2015,5
27/11/2015,9
28/11/2015,1
29/11/2015,5
30/11/2015,17
01/12/2015,2
02/12/2015,18
03/12/2015,11
04/12/2015,30
05/12/2015,1
06/12/2015,21
07/12/2015,2
08/12/2015,0
09/12/2015,10
10/12/2015,4
11/12/2015,42
12/12/2015,10
13/12/2015,0
14/12/2015,0
15/12/2015,0
16/12/2015,2
17/12/2015,7
18/12/2015,3
19/12/2015,0
20/12/2015,0
21/12/2015,0
22/12/2015,11
23/12/2015,1
24/12/2015,1
25/12/2015,0
26/12/2015,0
27/12/2015,0
28/12/2015,0
29/12/2015,0
30/12/2015,1
31/12/2015,0
01/01/2016,0
02/01/2016,0
03/01/2016,9
04/01/2016,1
05/01/2016,0
06/01/2016,2
07/01/2016,2
08/01/2016,4
09/01/2016,8
10/01/2016,0
11/01/2016,3
12/01/2016,12
13/01/2016,18
14/01/2016,6
15/01/2016,4
16/01/2016,0
17/01/2016,8
18/01/2016,4
19/01/2016,6
20/01/2016,0
21/01/2016,1
22/01/2016,4
23/01/2016,1
24/01/2016,1
25/01/2016,2
26/01/2016,10
27/01/2016,4
28/01/2016,0
29/01/2016,0
30/01/2016,0
31/01/2016,0
01/02/2016,2
02/02/2016,9
03/02/2016,3
04/02/2016,5
05/02/2016,1
06/02/2016,17
07/02/2016,0
08/02/2016,1
09/02/2016,16
10/02/2016,1
11/02/2016,2
12/02/2016,2
13/02/2016,1
14/02/2016,0
15/02/2016,2
16/02/2016,17
17/02/2016,4
18/02/2016,0
19/02/2016,1
20/02/2016,1
21/02/2016,0
22/02/2016,11
23/02/2016,4
24/02/2016,2
25/02/2016,1
26/02/2016,8
27/02/2016,0
28/02/2016,1
29/02/2016,22
01/03/2016,10
02/03/2016,2
03/03/2016,2
04/03/2016,2
05/03/2016,0
06/03/2016,0
07/03/2016,13
08/03/2016,1
09/03/2016,5
10/03/2016,0
11/03/2016,1
12/03/2016,0
13/03/2016,4
14/03/2016,3
15/03/2016,6
16/03/2016,8
17/03/2016,14
18/03/2016,3
19/03/2016,5
20/03/2016,1
21/03/2016,1
22/03/2016,4
23/03/2016,12
24/03/2016,27
25/03/2016,0
26/03/2016,25
27/03/2016,0
28/03/2016,1
29/03/2016,22
30/03/2016,49
31/03/2016,2
01/04/2016,0
02/04/2016,0
03/04/2016,2
04/04/2016,25
05/04/2016,5
06/04/2016,3
07/04/2016,6
08/04/2016,0
09/04/2016,0
10/04/2016,0
11/04/2016,7
12/04/2016,1
13/04/2016,7
14/04/2016,0
15/04/2016,1
16/04/2016,11
17/04/2016,0
18/04/2016,7
19/04/2016,2
20/04/2016,0
21/04/2016,0
22/04/2016,1
23/04/2016,1
24/04/2016,10
25/04/2016,11
26/04/2016,5
27/04/2016,0
28/04/2016,31
29/04/2016,3
30/04/2016,1
01/05/2016,17
02/05/2016,8
03/05/2016,6
04/05/2016,1
05/05/2016,1
06/05/2016,1
07/05/2016,0
08/05/2016,0
09/05/2016,1
10/05/2016,4
11/05/2016,16
12/05/2016,9
13/05/2016,1
14/05/2016,0
15/05/2016,0
16/05/2016,1
17/05/2016,16
18/05/2016,7
19/05/2016,8
20/05/2016,0
21/05/2016,1
22/05/2016,0
23/05/2016,0
24/05/2016,1
25/05/2016,0
26/05/2016,1
27/05/2016,0
28/05/2016,0
29/05/2016,0
30/05/2016,0
31/05/2016,0
01/06/2016,7
02/06/2016,3
03/06/2016,34
04/06/2016,0
05/06/2016,0
06/06/2016,0
07/06/2016,1
08/06/2016,1
09/06/2016,3
10/06/2016,0
11/06/2016,0
12/06/2016,1
13/06/2016,1
14/06/2016,0
15/06/2016,2
16/06/2016,13
17/06/2016,0
18/06/2016,0
19/06/2016,0
20/06/2016,0
21/06/2016,0
22/06/2016,2
23/06/2016,0
24/06/2016,0
25/06/2016,0
26/06/2016,0
27/06/2016,4
28/06/2016,6
29/06/2016,3
30/06/2016,1
01/07/2016,1
02/07/2016,0
03/07/2016,1
04/07/2016,2
05/07/2016,0
06/07/2016,14
07/07/2016,0
08/07/2016,0
09/07/2016,0
10/07/2016,0
11/07/2016,0
12/07/2016,0
13/07/2016,2
14/07/2016,3
15/07/2016,12
16/07/2016,0
17/07/2016,0
18/07/2016,2
19/07/2016,1
20/07/2016,0
21/07/2016,1
22/07/2016,0
23/07/2016,2
24/07/2016,1
25/07/2016,1
26/07/2016,0
27/07/2016,0
28/07/2016,2
29/07/2016,0
30/07/2016,0
31/07/2016,0
01/08/2016,1
02/08/2016,3
03/08/2016,14
